id;operationdate;userid;tin;status;rand_score;isinasnef;type;month_partition
5c3a7553a2ca485f0e445730;1547584541;9fed8380136618dc3e5a285ffd0435c8;0.0;status_OK;0.008788798041711591;false;type_2;2019-01-01
5c371647a2ca485f0e422464;1547147015;3c159ee38343c1e7e02a204e6cd5d25c;13.5;status_1;0.0111364861358473;false;type_1;2019-01-01
5c3702dea2ca485f0e41ebc0;1547584713;542f293f3c257ba7f5fffbca101c994f;7.95;status_1;0.00902173455012816;false;type_1;2019-01-01
5c3867cda2ca485f0e436b28;1547200467;8ef1d3c6c961e847d88b3e1c01b6f0f5;13.5;status_1;0.0119742172910704;;type_1;2019-01-01
5c371584a2ca485f0e4222cd;1547143542;f4a1366a9e4f5706ad07fed93ec0996f;24.0;status_1;0.0284280666924354;;type_1;2019-01-01
5c36e878a2ca485f0e413f13;1547145703;9f7eef233d37443fc6b20ccd1dd53d34;7.25;status_1;0.00852526130848566;false;type_1;2019-01-01
5c36f75fa2ca485f0e41a2ed;1547544447;d65e1e26dde65aefe14c8c223a822a04;13.5;status_1;0.0114818375722211;false;type_1;2019-01-01
5c378c4ea2ca485f0e42bd7b;1547283891;8980203def33932a027fefbd1ee73f12;24.0;status_1;0.0243048609920237;;type_1;2019-01-01
5c37ca64a2ca485f0e430229;1547407314;3a8942239aaa9a845a1144f7f57a0dde;16.95;status_1;0.0153941722547716;false;type_1;2019-01-01
5c3750caa2ca485f0e4277d8;1547332832;bf200d34b87de3592810b2ac246fc283;34.1;status_OK;0.0302265614360853;false;type_1;2019-01-01
5c3dc35ca2ca485f0e454e70;1547551794;46e470385c3b3ff6561da61886076076;11.95;status_1;0.0100738862438921;;type_1;2019-01-01
5c372186a2ca485f0e4238b0;1547396397;05cd49504a5c79a11725103cfcbace79;24.0;status_1;0.0209013841618942;true;type_1;2019-01-01
5c378f9fa2ca485f0e42c3a1;1547480636;fe1b65719154b08d54adc0f74bb3a482;0.0;status_OK;0.0120841826949315;false;type_2;2019-01-01
5c388a44a2ca485f0e438a17;1547469133;7a8cc57c1712eac634b6e832d4c2bbc9;0.0;status_1;0.0096683968979456;;type_2;2019-01-01
5c3ae93aa2ca485f0e4464e8;1547556274;f637dc763a23352074d2b1b3b3d50fb7;11.95;status_1;0.0104216933241921;false;type_1;2019-01-01
5c3847b1a2ca485f0e432e88;1547192293;4ba4fe41d961c950e2151b02b3bb0193;34.1;status_1;0.0224242542379812;;type_1;2019-01-01
5c371c93a2ca485f0e4230be;1547120766;129960d1cb6c091bebff7f87be2f9ee5;24.0;status_1;0.0264286723069812;;type_1;2019-01-01
5c3ca04c3ffcdb000102a0bf;1547477458;c5110a25c53bc9f39ba70eb297acfb06;34.1;status_1;0.0244;;type_1;2019-01-01
5c3b95a2a2ca485f0e449f7c;1547559906;1e30e987a6d6b9abc3723114ea0074f1;13.5;status_OK;0.0114924234982887;false;type_1;2019-01-01
5c36faafa2ca485f0e41bf24;1547461543;2978c41d2c64576e0c9bb63bc30817e6;13.5;status_KO;0.0122999262139733;false;type_1;2019-01-01
5c39c97ea2ca485f0e441b23;1547291095;61a0fc486bb263abbbfb5cfbc8f27093;7.25;status_1;0.0086582748267781;;type_1;2019-01-01
5c3748f7a2ca485f0e426e63;1547149180;3c6e29939eb3cd6eeaefa84c239668b4;7.25;status_1;0.008543400453040459;false;type_1;2019-01-01
5c38d793a2ca485f0e43bfc5;1547229355;0a52b277d225ff76232e8704ada5fe49;13.5;status_2;0.0110839437709931;false;type_1;2019-01-01
5c36ef75a2ca485f0e4151d4;1547479523;812961d2402dbecbc165122dc716a87a;7.95;status_1;0.00958752982136016;;type_1;2019-01-01
